"id","username","discriminator","nickname","avatar","bot"
"224663848357986314","Yuta","6267",NA,"70919d2ee093a2a7d29a75bd58b92ff5",NA
"224792000275152899","haha yes","2532","хаха да","838527df001d81ab3de2997ec8ba7410",NA
"226948449894006785","smallishboy","3180",NA,"9e7dcbc5e9969ae784187470331fa823",NA
"227599484316680192","alpacafe","7727",NA,NA,NA
"229105564439937024","keepitsimple_r","9130",NA,"92b0f90109081dea23b15f5cf6920eb8",NA
"229473160976793600","trolltoes","1835",NA,"3f56dc7d5de47ebee526f3f1f491f3c5",NA
"229485324785549312","forsenboyZ","9609",NA,"8732c46c1ba7510ce7a08008abad0d2e",NA
"230015550766448640","Shirogane","8848","Shiro","25fb7e7fd9271b1b67b9e2dfd9846a7d",NA
"230489135352250368","auburrito🌯","0959",NA,"f968c917437c6b60352a45581c485e17",NA
"231977526665150465","diskidnamekevin","2921",NA,"537b0592e8a7ebe025beb4cfa0a7e536",NA
"232328688178429952","Thunder_Colonel","3800","husky4another4years","ab96be36d024bd9e509a643b47ffedaa",NA
"232397334967746560","Sanpe","2678","!No.","74d87bb295d31b9b05bb9e5fbfdbb8ac",NA
"233642871394140160","Kwarrtz","5039",NA,"efa2692ab6073dca24b9a5037ff94c1b",NA
"233743610154057728","Darkspire","5229",NA,"5ed4eb6a75b3968fbcef88d4f4a9db1d",NA
"233949828227268608","LaterLassie","1302","nugstachio","239023b3c2a23cbb4b8247b7dda18138",NA
"234167703194173441","SantaIsTheBest","2700","(╯°□°）╯︵ ┻━┻","df77f1778d72b63a513f857ee8664ce1",NA
"234449370957742080","superbad8","0676",NA,NA,NA
"235088799074484224","Rythm","3722",NA,"16c197c4c3f0eb808f9bceb6e1075e71",TRUE
"236685342910971906","Killersauron","4599",NA,"a8d5811a4d67b0052c0eff3a7dd707e7",NA
"236958205207511042","archane24","3410",NA,"f8ca461010bf813514a2111d387eedb4",NA
"238166510579875841","money_woes","3269",NA,"78316be77bf816226755fb468f13f252",NA
"238293489417191424","aiLaGeR","1239",NA,"9990627b0d2a7fcfe15fc37019a1689c",NA
"239629273319735296","Tapiras","3658",NA,"72a65ef773666ca4d9a953029ea22939",NA
"239943645262774272","SPΔGHΣTTI","6860",NA,"b19168356e54953d9daf0508ad028054",NA
"240961296441278465","rumi","0716",NA,"8f5e441b1525825f07a605144453695a",NA
"241777035448549376","b.yee","4335",NA,"2d5e12ffb1315bb6c9f3fcded36f13bb",NA
"241784111721742337","IvanGM","1051",NA,"2dc0492675fa0dbecd1c75c8f4430f64",NA
